 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device        m.xdut.xm13.m0        m.xdut.xm18.m0        m.xdut.xm12.m0
      model            nmos_3p3.9            nmos_3p3.9            nmos_3p3.9
        vth              0.907207              0.907093              0.908741
         id           3.48596e-05           5.06411e-05           2.17278e-05
        ibd          -1.28448e-12          -2.42009e-12          -2.72604e-12
        ibs                     0                     0                     0
        gbd                 1e-12                 1e-12                 1e-12
        gbs           1.38664e-12           1.38664e-12           1.38664e-12
       isub           2.21863e-18           7.98594e-12            1.8171e-09
      igidl                     0           5.05841e-34           1.53233e-18
      igisl                     0                     0                     0
        igs                     0                     0                     0
        igd                     0                     0                     0
        igb                     0                     0                     0
       igcs                     0                     0                     0
       igcd                     0                     0                     0
        vbs                    -0                    -0                    -0
        vgs               1.55722               1.69654               1.10652
        vds               1.27448               2.41009               2.71604
        cgg           8.99166e-15           9.01844e-15           4.35106e-14
        cgs          -7.69484e-15          -7.81194e-15          -3.50751e-14
        cgd           -3.5092e-18           6.15616e-20           1.96539e-18
        cbg          -1.56804e-15          -1.57396e-15          -7.96292e-15
        cbd          -2.63071e-18          -6.74643e-20           1.01639e-18
        cbs          -3.43431e-15            -3.362e-15          -1.81567e-14
        cdg          -2.97245e-15          -2.97828e-15          -1.42201e-14
        cdd           5.16675e-18           3.05572e-19          -9.52718e-19
        cds            4.4537e-15           4.47009e-15           2.12941e-14
        csg          -4.45116e-15           -4.4662e-15          -2.13276e-14
        csd           9.73162e-19          -2.99669e-19          -2.02906e-18
        css           6.67545e-15           6.70385e-15           3.19377e-14
        cgb          -1.29331e-15          -1.20656e-15          -8.43753e-15
        cdb          -1.48642e-15          -1.49212e-15          -7.07304e-15
        csb          -2.22526e-15          -2.23735e-15           -1.0608e-14
        cbb           5.00499e-15           4.93603e-15           2.61186e-14
      capbd           1.50937e-15            1.3631e-15           6.68767e-15
      capbs             1.314e-15             1.314e-15           6.58315e-15
         qg           1.66458e-14           1.78993e-14           6.32597e-14
         qb          -1.08191e-14          -1.10389e-14          -5.06543e-14
         qd          -2.33189e-15          -2.74447e-15          -5.04247e-15
         qs          -3.49482e-15          -4.11597e-15          -7.56294e-15
       qinv             4.957e-15           6.02496e-15           7.56031e-15
       qdef                    -0                    -0                    -0
       gcrg                     0                     0                     0
       gtau                     0                     0                     0
    vgsteff              0.645942              0.783616              0.198948
     vdseff              0.518537              0.625648              0.188245
       cgso           7.19742e-16           7.19753e-16           3.60549e-15
       cgdo           7.16339e-16           6.20883e-16           2.98881e-15
       cgbo              7.28e-20              7.28e-20              7.28e-20
